Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cnot6l,1.35120588901348,-0.429145402336341,0.226159992090158,-1.89753014390478,0.0577580042433272,0.0848928008306822
Polr1c,1.33488748126595,-0.429145203832688,0.226032259657398,-1.89860157343537,0.0576168813893791,0.0846973024084931
Otub1,1.3546964043904,-0.429128404946705,0.226204168123287,-1.89708442822689,0.0578167960471961,0.0849672509477376
Rpl7l1,1.37001668987586,-0.429127375763306,0.226356932567005,-1.89579957148553,0.0579865525718159,0.0851328376950863
Brd4,1.35776757047785,-0.429123038510564,0.226280179154628,-1.8964234521722,0.0579040731854713,0.0850356624076974
Iah1,1.34659887422551,-0.429097827980924,0.226218340768702,-1.89683040960705,0.0578503244357849,0.0849931883136274
Vps4b,1.36546617963525,-0.4290820668914,0.226228772612747,-1.89667327429607,0.0578710731060831,0.0850005331586725
Tmf1,1.36229185166884,-0.42906616418129,0.226300608631121,-1.89600092892673,0.0579599216925929,0.085105707801782
Ptpn7,1.34223827021356,-0.429012864308321,0.226519997421039,-1.89392931835022,0.0582343923445699,0.0853526682686101
Gadd45b,1.3104835858702,-0.428758211103261,0.227600511673902,-1.88381918805864,0.0595894371651749,0.0871063741255146
Blk,1.33470264922621,-0.428693988343445,0.219026910532103,-1.9572662888865,0.0503161687551833,0.0744790588124364
Klk8,1.39382124097931,-0.421328385297149,0.225556001091673,-1.86795466872065,0.0617683897726416,0.0901274618066217
Zcchc11,1.32398664681089,-0.416184917735624,0.226432120346207,-1.83801183815835,0.0660606609217397,0.0962155831505249
H2-M3,1.35128353398549,-0.416152477250628,0.226517283068513,-1.83717759463307,0.0661836821467926,0.0963007166010473
Cpsf6,1.33483406250823,-0.41614363289299,0.226500488577606,-1.83727476927895,0.0661693426397377,0.0962932725339924
Parp1,1.31154470554303,-0.416136428249476,0.226423103149663,-1.83787088181727,0.0660814337257692,0.0962212495067495
Esco1,1.28808836338013,-0.416135239528733,0.226249338245929,-1.83927715658731,0.0658744311758792,0.0959711221708316
Btk,1.31450499583981,-0.416112783658276,0.22653655175598,-1.83684610908399,0.0662326168392641,0.096346185765266
Malt1,1.28809991385832,-0.416105954768999,0.226219018413847,-1.8393942193126,0.0658572237562093,0.0959692736085736
Mll3,1.33905095496911,-0.416098091571002,0.226571072772157,-1.83650139658135,0.0662835357390062,0.096392270945149
Rbm5,1.37068716804989,-0.416087102449942,0.22668851127145,-1.83550149990484,0.0664314170556221,0.0965346443594699
Snhg12,1.31124079501326,-0.416082294968406,0.226421495910294,-1.83764484593483,0.0661147559786285,0.0962540862385834
Gpr174,1.27656023818355,-0.416075294499708,0.22620799413731,-1.8393483222664,0.0658639698664205,0.0959692736085736
Vrk3,1.36614789098173,-0.416059437635223,0.226612413544077,-1.83599579179407,0.0663582790358625,0.0964606562426071
Cxcr6,1.30014116705885,-0.416048068638624,0.227986583570175,-1.82487961406976,0.0680191981910516,0.0984773858153624
Dapp1,1.30719642210711,-0.416038904136577,0.226371335513088,-1.83786035980922,0.0660829845750377,0.0962212495067495
Cep110,1.32612065382545,-0.416005437369338,0.226504588477136,-1.83663139085295,0.0662643299647826,0.0963777660674743
Cxcr5,1.29232401978588,-0.413708227629037,0.223467117037611,-1.85131590326736,0.0641241195085722,0.0934994144789795
1300014I06Rik,1.41316495727719,-0.407332447971394,0.215922785291163,-1.88647273803051,0.0592312787531785,0.0866313463411577
Cyld,1.35380726884567,-0.40614728911483,0.222332284039904,-1.8267580476164,0.0677361561964231,0.098094807974845
